"person","app","day","month","year","strDate","date"
"a","mg","17","12","2023","17-12-2023","20231217"
"a","mg","17","12","2023","17-12-2023","20231217"
"a","mg","03","12","2023","03-12-2023","20231203"
"a","mg","03","12","2023","03-12-2023","20231203"
"a","mg","28","11","2023","28-11-2023","20231128"
"a","mg","04","11","2023","04-11-2023","20231104"
"a","mg","03","11","2023","03-11-2023","20231103"
"a","mg","02","11","2023","02-11-2023","20231102"
"a","mg","30","10","2023","30-10-2023","20231030"
"a","mg","29","10","2023","29-10-2023","20231029"
"a","mg","22","10","2023","22-10-2023","20231022"
"a","mg","17","10","2023","17-10-2023","20231017"
"a","mg","16","10","2023","16-10-2023","20231016"
"a","mg","15","10","2023","15-10-2023","20231015"
"a","mg","15","10","2023","15-10-2023","20231015"
"a","mg","14","10","2023","14-10-2023","20231014"
"a","mg","08","10","2023","08-10-2023","20231008"
"a","mg","05","10","2023","05-10-2023","20231005"
"a","mg","05","10","2023","05-10-2023","20231005"
"a","mg","03","10","2023","03-10-2023","20231003"
"a","mg","03","10","2023","03-10-2023","20231003"
"a","mg","03","10","2023","03-10-2023","20231003"
"a","mg","03","10","2023","03-10-2023","20231003"
"a","mg","03","10","2023","03-10-2023","20231003"
"a","mg","02","10","2023","02-10-2023","20231002"
"a","mg","30","09","2023","30-09-2023","20230930"
"a","mg","20","09","2023","20-09-2023","20230920"
"a","mg","18","09","2023","18-09-2023","20230918"
"a","mg","14","09","2023","14-09-2023","20230914"
"a","mg","10","09","2023","10-09-2023","20230910"
"a","mg","08","09","2023","08-09-2023","20230908"
"a","mg","02","09","2023","02-09-2023","20230902"
"a","mg","02","09","2023","02-09-2023","20230902"
"a","mg","02","09","2023","02-09-2023","20230902"
"a","mg","29","08","2023","29-08-2023","20230829"
"a","mg","26","08","2023","26-08-2023","20230826"
"a","mg","21","08","2023","21-08-2023","20230821"
"a","mg","19","08","2023","19-08-2023","20230819"
"a","mg","14","08","2023","14-08-2023","20230814"
"a","mg","11","08","2023","11-08-2023","20230811"
"a","mg","10","08","2023","10-08-2023","20230810"
"a","mg","10","08","2023","10-08-2023","20230810"
"a","mg","10","08","2023","10-08-2023","20230810"
"a","mg","10","08","2023","10-08-2023","20230810"
"a","mg","09","08","2023","09-08-2023","20230809"
"a","mg","09","08","2023","09-08-2023","20230809"
"a","mg","07","08","2023","07-08-2023","20230807"
"a","mg","07","08","2023","07-08-2023","20230807"
"a","mg","06","08","2023","06-08-2023","20230806"
"a","mg","06","08","2023","06-08-2023","20230806"
"a","mg","05","08","2023","05-08-2023","20230805"
"a","mg","05","08","2023","05-08-2023","20230805"
"a","mg","05","08","2023","05-08-2023","20230805"
"a","mg","05","08","2023","05-08-2023","20230805"
"a","mg","05","08","2023","05-08-2023","20230805"
"a","mg","05","08","2023","05-08-2023","20230805"
"a","mg","05","08","2023","05-08-2023","20230805"
"a","mg","04","08","2023","04-08-2023","20230804"
"a","mg","04","08","2023","04-08-2023","20230804"
"a","mg","04","08","2023","04-08-2023","20230804"
"a","mg","04","08","2023","04-08-2023","20230804"
"a","mg","04","08","2023","04-08-2023","20230804"
"a","mg","04","08","2023","04-08-2023","20230804"
"a","mg","04","08","2023","04-08-2023","20230804"
"a","mg","04","08","2023","04-08-2023","20230804"
"a","mg","04","08","2023","04-08-2023","20230804"
"a","mg","04","08","2023","04-08-2023","20230804"
"a","mg","03","08","2023","03-08-2023","20230803"
"a","mg","02","08","2023","02-08-2023","20230802"
"a","mg","02","08","2023","02-08-2023","20230802"
"a","mg","01","08","2023","01-08-2023","20230801"
"a","mg","31","07","2023","31-07-2023","20230731"
"a","mg","25","06","2023","25-06-2023","20230625"
"a","mg","11","06","2023","11-06-2023","20230611"
"a","mg","10","06","2023","10-06-2023","20230610"
"a","mg","10","06","2023","10-06-2023","20230610"
"a","mg","06","06","2023","06-06-2023","20230606"
"a","mg","03","06","2023","03-06-2023","20230603"
"a","mg","01","06","2023","01-06-2023","20230601"
"a","mg","28","05","2023","28-05-2023","20230528"
"a","mg","27","05","2023","27-05-2023","20230527"
"a","mg","23","05","2023","23-05-2023","20230523"
"a","mg","19","05","2023","19-05-2023","20230519"
"a","mg","18","05","2023","18-05-2023","20230518"
"a","mg","23","04","2023","23-04-2023","20230423"
"a","mg","22","04","2023","22-04-2023","20230422"
"a","mg","17","04","2023","17-04-2023","20230417"
"a","mg","16","04","2023","16-04-2023","20230416"
"a","mg","16","04","2023","16-04-2023","20230416"
"a","mg","07","04","2023","07-04-2023","20230407"
"a","mg","05","04","2023","05-04-2023","20230405"
"a","mg","20","03","2023","20-03-2023","20230320"
"a","mg","14","03","2023","14-03-2023","20230314"
"a","mg","10","03","2023","10-03-2023","20230310"
"a","mg","08","03","2023","08-03-2023","20230308"
"a","mg","05","03","2023","05-03-2023","20230305"
"a","mg","03","03","2023","03-03-2023","20230303"
"a","mg","03","03","2023","03-03-2023","20230303"
"a","mg","28","02","2023","28-02-2023","20230228"
"a","mg","26","02","2023","26-02-2023","20230226"
"a","mg","25","02","2023","25-02-2023","20230225"
"a","mg","18","02","2023","18-02-2023","20230218"
"a","mg","18","02","2023","18-02-2023","20230218"
"a","mg","10","02","2023","10-02-2023","20230210"
"a","mg","09","02","2023","09-02-2023","20230209"
"a","mg","07","02","2023","07-02-2023","20230207"
"a","mg","04","02","2023","04-02-2023","20230204"
"a","mg","02","02","2023","02-02-2023","20230202"
"a","mg","29","01","2023","29-01-2023","20230129"
"a","mg","22","01","2023","22-01-2023","20230122"
"a","mg","21","01","2023","21-01-2023","20230121"
"a","mg","21","01","2023","21-01-2023","20230121"
"a","mg","20","01","2023","20-01-2023","20230120"
"a","mg","17","01","2023","17-01-2023","20230117"
"a","mg","12","01","2023","12-01-2023","20230112"
"a","mg","10","01","2023","10-01-2023","20230110"
"a","mg","10","01","2023","10-01-2023","20230110"
"a","mg","10","01","2023","10-01-2023","20230110"
"a","mg","10","01","2023","10-01-2023","20230110"
"a","mg","10","01","2023","10-01-2023","20230110"
"a","mg","09","01","2023","09-01-2023","20230109"
"a","mg","09","01","2023","09-01-2023","20230109"
"a","mg","09","01","2023","09-01-2023","20230109"
"a","mg","09","01","2023","09-01-2023","20230109"
"a","mg","09","01","2023","09-01-2023","20230109"
"a","mg","09","01","2023","09-01-2023","20230109"
"a","mg","09","01","2023","09-01-2023","20230109"
"a","mg","09","01","2023","09-01-2023","20230109"
"a","mg","09","01","2023","09-01-2023","20230109"
"a","mg","09","01","2023","09-01-2023","20230109"
"a","mg","09","01","2023","09-01-2023","20230109"
"a","mg","09","01","2023","09-01-2023","20230109"
"a","mg","08","01","2023","08-01-2023","20230108"
"a","mg","08","01","2023","08-01-2023","20230108"
"a","mg","08","01","2023","08-01-2023","20230108"
"a","mg","08","01","2023","08-01-2023","20230108"
"a","mg","08","01","2023","08-01-2023","20230108"
"a","mg","08","01","2023","08-01-2023","20230108"
"a","mg","07","01","2023","07-01-2023","20230107"
"a","mg","05","01","2023","05-01-2023","20230105"
"a","mg","04","01","2023","04-01-2023","20230104"
"a","mg","01","01","2023","01-01-2023","20230101"
"a","mg","01","01","2023","01-01-2023","20230101"
"a","mg","31","12","2022","31-12-2022","20221231"
"a","mg","26","12","2022","26-12-2022","20221226"
"a","mg","03","12","2022","03-12-2022","20221203"
"a","mg","02","12","2022","02-12-2022","20221202"
"a","mg","01","12","2022","01-12-2022","20221201"
"a","mg","30","11","2022","30-11-2022","20221130"
"a","mg","30","11","2022","30-11-2022","20221130"
"a","mg","30","11","2022","30-11-2022","20221130"
"a","mg","16","11","2022","16-11-2022","20221116"
"a","mg","13","11","2022","13-11-2022","20221113"
"a","mg","12","11","2022","12-11-2022","20221112"
"a","mg","11","11","2022","11-11-2022","20221111"
"a","mg","10","11","2022","10-11-2022","20221110"
