"person","app","day","month","year","strDate","date"
"f","mg","13","12","2023","13-12-2023","20231213"
"f","mg","12","12","2023","12-12-2023","20231212"
"f","mg","09","12","2023","09-12-2023","20231209"
"f","mg","04","12","2023","04-12-2023","20231204"
"f","mg","02","12","2023","02-12-2023","20231202"
"f","mg","30","11","2023","30-11-2023","20231130"
"f","mg","29","11","2023","29-11-2023","20231129"
"f","mg","29","11","2023","29-11-2023","20231129"
"f","mg","26","11","2023","26-11-2023","20231126"
"f","mg","26","11","2023","26-11-2023","20231126"
"f","mg","26","11","2023","26-11-2023","20231126"
"f","mg","24","11","2023","24-11-2023","20231124"
"f","mg","24","11","2023","24-11-2023","20231124"
"f","mg","22","11","2023","22-11-2023","20231122"
"f","mg","22","11","2023","22-11-2023","20231122"
"f","mg","20","11","2023","20-11-2023","20231120"
"f","mg","19","11","2023","19-11-2023","20231119"
"f","mg","19","11","2023","19-11-2023","20231119"
"f","mg","19","11","2023","19-11-2023","20231119"
"f","mg","19","11","2023","19-11-2023","20231119"
"f","mg","15","11","2023","15-11-2023","20231115"
"f","mg","06","11","2023","06-11-2023","20231106"
"f","mg","06","11","2023","06-11-2023","20231106"
"f","mg","06","11","2023","06-11-2023","20231106"
"f","mg","03","11","2023","03-11-2023","20231103"
"f","mg","21","10","2023","21-10-2023","20231021"
"f","mg","19","10","2023","19-10-2023","20231019"
"f","mg","14","10","2023","14-10-2023","20231014"
"f","mg","05","10","2023","05-10-2023","20231005"
"f","mg","04","10","2023","04-10-2023","20231004"
"f","mg","16","09","2023","16-09-2023","20230916"
"f","mg","16","09","2023","16-09-2023","20230916"
"f","mg","16","09","2023","16-09-2023","20230916"
"f","mg","10","09","2023","10-09-2023","20230910"
"f","mg","14","08","2023","14-08-2023","20230814"
"f","mg","09","08","2023","09-08-2023","20230809"
"f","mg","13","06","2023","13-06-2023","20230613"
"f","mg","12","06","2023","12-06-2023","20230612"
"f","mg","02","06","2023","02-06-2023","20230602"
"f","mg","01","06","2023","01-06-2023","20230601"
"f","mg","26","05","2023","26-05-2023","20230526"
"f","mg","18","05","2023","18-05-2023","20230518"
"f","mg","14","05","2023","14-05-2023","20230514"
"f","mg","13","05","2023","13-05-2023","20230513"
"f","mg","02","05","2023","02-05-2023","20230502"
"f","mg","02","05","2023","02-05-2023","20230502"
"f","mg","27","04","2023","27-04-2023","20230427"
"f","mg","22","04","2023","22-04-2023","20230422"
"f","mg","30","03","2023","30-03-2023","20230330"
"f","mg","21","03","2023","21-03-2023","20230321"
"f","mg","16","03","2023","16-03-2023","20230316"
"f","mg","30","01","2023","30-01-2023","20230130"
"f","mg","26","01","2023","26-01-2023","20230126"
"f","mg","19","01","2023","19-01-2023","20230119"
"f","mg","14","12","2022","14-12-2022","20221214"
"f","mg","09","12","2022","09-12-2022","20221209"
"f","mg","04","12","2022","04-12-2022","20221204"
"f","mg","27","11","2022","27-11-2022","20221127"
"f","mg","17","11","2022","17-11-2022","20221117"
"f","mg","13","11","2022","13-11-2022","20221113"
"f","mg","13","11","2022","13-11-2022","20221113"
"f","mg","12","11","2022","12-11-2022","20221112"
