"person","app","day","month","year"
"f","sp","17","10","2023"
"f","sp","28","12","2022"
"f","sp","17","10","2022"
"f","sp","30","06","2022"
"f","sp","30","04","2022"
"f","sp","23","04","2022"
"f","sp","26","03","2022"
"f","sp","24","03","2022"
"f","sp","20","03","2022"
"f","sp","18","03","2022"
"f","sp","18","03","2022"
"f","sp","13","03","2022"
"f","sp","12","03","2022"
"f","sp","11","03","2022"
"f","sp","11","03","2022"
"f","sp","04","03","2022"
"f","sp","04","03","2022"
"f","sp","02","03","2022"
"f","sp","01","03","2022"
"f","sp","01","03","2022"
"f","sp","22","02","2022"
"f","sp","22","02","2022"
"f","sp","22","02","2022"
"f","sp","17","02","2022"
"f","sp","16","02","2022"
"f","sp","16","02","2022"
"f","sp","16","02","2022"
"f","sp","16","02","2022"
"f","sp","14","02","2022"
"f","sp","14","02","2022"
"f","sp","12","02","2022"
"f","sp","11","02","2022"
"f","sp","11","02","2022"
"f","sp","08","02","2022"
"f","sp","08","02","2022"
"f","sp","08","02","2022"
"f","sp","05","02","2022"
"f","sp","04","02","2022"
"f","sp","04","02","2022"
"f","sp","31","01","2022"
"f","sp","16","01","2022"
"f","sp","13","01","2022"
"f","sp","13","01","2022"
"f","sp","13","01","2022"
"f","sp","03","01","2022"
"f","sp","03","01","2022"
"f","sp","08","12","2021"
"f","sp","08","12","2021"
"f","sp","18","11","2021"
"f","sp","18","11","2021"
"f","sp","18","11","2021"
"f","sp","17","11","2021"
"f","sp","17","11","2021"
"f","sp","22","10","2021"
"f","sp","22","10","2021"
"f","sp","22","10","2021"
"f","sp","22","10","2021"
"f","sp","22","10","2021"
"f","sp","22","10","2021"
"f","sp","17","10","2021"
"f","sp","31","08","2021"
"f","sp","31","08","2021"
"f","sp","31","08","2021"
"f","sp","31","08","2021"
"f","sp","23","07","2021"
"f","sp","23","07","2021"
"f","sp","23","07","2021"
"f","sp","23","07","2021"
"f","sp","23","07","2021"
"f","sp","23","07","2021"
"f","sp","23","07","2021"
"f","sp","23","07","2021"
"f","sp","23","07","2021"
"f","sp","23","07","2021"
"f","sp","23","07","2021"
"f","sp","23","07","2021"
"f","sp","05","09","2023"
"f","sp","11","02","2023"
"f","sp","05","12","2022"
"f","sp","14","11","2022"
"f","sp","14","11","2022"
"f","sp","14","11","2022"
"f","sp","14","11","2022"
"f","sp","03","11","2022"
"f","sp","08","10","2022"
"f","sp","30","09","2022"
"f","sp","30","09","2022"
"f","sp","04","09","2022"
"f","sp","22","08","2022"
"f","sp","06","07","2022"
"f","sp","30","06","2022"
"f","sp","20","06","2022"
"f","sp","20","06","2022"
"f","sp","17","06","2022"
"f","sp","17","06","2022"
"f","sp","17","06","2022"
"f","sp","08","06","2022"
"f","sp","05","06","2022"
"f","sp","05","06","2022"
"f","sp","30","05","2022"
"f","sp","30","05","2022"
"f","sp","29","05","2022"
"f","sp","29","05","2022"
"f","sp","22","05","2022"
"f","sp","22","05","2022"
"f","sp","14","05","2022"
"f","sp","04","05","2022"
"f","sp","23","04","2022"
"f","sp","06","04","2022"
"f","sp","03","04","2022"
"f","sp","03","04","2022"
"f","sp","03","04","2022"
"f","sp","03","04","2022"
"f","sp","03","04","2022"
"f","sp","18","03","2022"
"f","sp","18","03","2022"
"f","sp","13","03","2022"
"f","sp","11","03","2022"
"f","sp","26","02","2022"
"f","sp","26","02","2022"
"f","sp","16","02","2022"
"f","sp","14","02","2022"
"f","sp","26","01","2022"
"f","sp","25","01","2022"
"f","sp","16","01","2022"
"f","sp","14","01","2022"
"f","sp","13","01","2022"
"f","sp","12","01","2022"
"f","sp","11","01","2022"
"f","sp","03","01","2022"
"f","sp","01","01","2022"
"f","sp","01","01","2022"
"f","sp","01","01","2022"
"f","sp","31","12","2021"
"f","sp","31","12","2021"
"f","sp","08","12","2021"
"f","sp","14","11","2021"
"f","sp","05","11","2021"
"f","sp","05","11","2021"
"f","sp","22","10","2021"
"f","sp","12","10","2021"
"f","sp","04","09","2021"
"f","sp","21","08","2021"
"f","sp","18","08","2021"
"f","sp","18","08","2021"
"f","sp","17","08","2021"
"f","sp","17","08","2021"
"f","sp","30","06","2021"
"f","sp","30","06","2021"
"f","sp","30","06","2021"
"f","sp","30","06","2021"
"f","sp","30","06","2021"
"f","sp","30","06","2021"
"f","sp","30","06","2021"
"f","sp","30","06","2021"
"f","sp","30","06","2021"
"f","sp","30","06","2021"
"f","sp","30","06","2021"
"f","sp","30","06","2021"
"f","sp","30","06","2021"
"f","sp","30","06","2021"
"f","sp","15","06","2021"
"f","sp","31","05","2021"
"f","sp","30","05","2021"
"f","sp","30","05","2021"
"f","sp","30","05","2021"
"f","sp","30","05","2021"
"f","sp","30","05","2021"
"f","sp","30","05","2021"
"f","sp","22","05","2021"
"f","sp","22","05","2021"
"f","sp","19","05","2021"
"f","sp","15","03","2021"
"f","sp","24","02","2021"
"f","sp","22","11","2020"
"f","sp","14","11","2020"
"f","sp","09","11","2020"
"f","sp","02","09","2020"
"f","sp","22","07","2020"
"f","sp","20","06","2020"
"f","sp","20","06","2020"
"f","sp","20","06","2020"
"f","sp","20","06","2020"
"f","sp","20","06","2020"
"f","sp","20","06","2020"
"f","sp","21","05","2020"
"f","sp","15","04","2020"
"f","sp","17","02","2020"
"f","sp","17","02","2020"
"f","sp","17","02","2020"
"f","sp","22","01","2020"
"f","sp","01","01","2020"
"f","sp","31","12","2019"
"f","sp","31","12","2019"
"f","sp","31","12","2019"
"f","sp","31","12","2019"
"f","sp","31","12","2019"
"f","sp","31","12","2019"
"f","sp","17","12","2019"
"f","sp","14","12","2019"
"f","sp","08","12","2019"
"f","sp","24","11","2019"
"f","sp","24","11","2019"
"f","sp","19","07","2019"
"f","sp","19","07","2019"
"f","sp","19","07","2019"
"f","sp","14","07","2019"
"f","sp","06","06","2019"
"f","sp","06","06","2019"
"f","sp","06","06","2019"
"f","sp","06","06","2019"
"f","sp","06","06","2019"
"f","sp","06","06","2019"
"f","sp","06","06","2019"
"f","sp","06","06","2019"
"f","sp","06","06","2019"
"f","sp","06","06","2019"
"f","sp","27","05","2019"
"f","sp","26","05","2019"
"f","sp","26","05","2019"
"f","sp","26","05","2019"
"f","sp","26","05","2019"
"f","sp","26","05","2019"
"f","sp","26","05","2019"
"f","sp","31","07","2023"
"f","sp","26","07","2023"
"f","sp","27","10","2022"
"f","sp","24","01","2022"
"f","sp","17","01","2022"
"f","sp","17","01","2022"
"f","sp","17","01","2022"
"f","sp","17","01","2022"
"f","sp","17","01","2022"
"f","sp","17","01","2022"
"f","sp","17","01","2022"
"f","sp","12","08","2021"
"f","sp","04","01","2020"
"f","sp","04","01","2020"
"f","sp","04","01","2020"
"f","sp","11","12","2019"
"f","sp","11","12","2019"
"f","sp","02","12","2019"
"f","sp","02","12","2019"
"f","sp","02","12","2019"
"f","sp","02","12","2019"
"f","sp","02","12","2019"
"f","sp","20","10","2019"
"f","sp","20","10","2019"
"f","sp","20","10","2019"
"f","sp","20","08","2019"
"f","sp","20","08","2019"
"f","sp","20","08","2019"
"f","sp","11","07","2019"
"f","sp","11","07","2019"
"f","sp","11","07","2019"
"f","sp","11","04","2019"
"f","sp","11","04","2019"
"f","sp","11","04","2019"
"f","sp","11","04","2019"
"f","sp","27","05","2023"
"f","sp","09","03","2023"
"f","sp","09","03","2023"
"f","sp","09","03","2023"
"f","sp","21","02","2023"
"f","sp","21","02","2023"
"f","sp","21","02","2023"
"f","sp","21","02","2023"
"f","sp","21","02","2023"
"f","sp","21","02","2023"
"f","sp","10","02","2023"
"f","sp","10","02","2023"
"f","sp","10","02","2023"
"f","sp","10","02","2023"
"f","sp","10","02","2023"
"f","sp","10","02","2023"
"f","sp","10","02","2023"
"f","sp","10","02","2023"
"f","sp","10","02","2023"
"f","sp","17","01","2023"
"f","sp","17","01","2023"
"f","sp","14","01","2023"
"f","sp","04","01","2023"
"f","sp","04","01","2023"
"f","sp","24","05","2022"
"f","sp","24","05","2022"
"f","sp","24","05","2022"
"f","sp","24","05","2022"
"f","sp","24","05","2022"
"f","sp","24","05","2022"
"f","sp","24","05","2022"
"f","sp","24","05","2022"
"f","sp","24","05","2022"
"f","sp","24","05","2022"
"f","sp","19","02","2023"
"f","sp","03","02","2023"
"f","sp","03","02","2023"
"f","sp","10","01","2023"
"f","sp","03","01","2023"
"f","sp","02","01","2023"
"f","sp","16","12","2022"
"f","sp","16","12","2022"
"f","sp","11","12","2022"
"f","sp","14","11","2022"
"f","sp","11","02","2022"
"f","sp","13","11","2021"
"f","sp","08","11","2021"
"f","sp","17","10","2022"
"f","sp","17","08","2022"
"f","sp","17","08","2022"
"f","sp","30","12","2021"
"f","sp","17","12","2021"
"f","sp","16","11","2021"
"f","sp","08","10","2021"
"f","sp","09","01","2021"
"f","sp","03","01","2021"
"f","sp","03","01","2021"
"f","sp","01","01","2021"
"f","sp","01","01","2021"
"f","sp","01","01","2021"
"f","sp","01","01","2021"
"f","sp","01","01","2021"
"f","sp","01","01","2021"
"f","sp","01","01","2021"
"f","sp","01","01","2021"
"f","sp","17","12","2020"
"f","sp","03","10","2020"
"f","sp","28","09","2020"
"f","sp","27","08","2020"
"f","sp","12","01","2020"
"f","sp","01","01","2020"
"f","sp","31","12","2019"
"f","sp","30","12","2019"
"f","sp","30","12","2019"
"f","sp","30","12","2019"
"f","sp","30","12","2019"
"f","sp","30","12","2019"
"f","sp","30","12","2019"
"f","sp","30","12","2019"
"f","sp","30","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","28","12","2019"
"f","sp","21","12","2019"
"f","sp","21","12","2019"
"f","sp","21","12","2019"
"f","sp","21","12","2019"
"f","sp","21","12","2019"
"f","sp","21","12","2019"
"f","sp","17","12","2019"
"f","sp","17","12","2019"
"f","sp","17","12","2019"
"f","sp","17","12","2019"
"f","sp","17","12","2019"
"f","sp","17","12","2019"
"f","sp","17","12","2019"
"f","sp","17","12","2019"
"f","sp","17","12","2019"
"f","sp","17","12","2019"
"f","sp","17","12","2019"
"f","sp","17","12","2019"
"f","sp","17","12","2019"
"f","sp","17","12","2019"
"f","sp","17","12","2019"
"f","sp","17","12","2019"
