"From","Media Type","Created","Content","Conversation Title","IsSender","Created(microseconds)","MainFrom","app","person"
"","MEDIA","2023-11-19 13:02:48 UTC","","",FALSE,1700398968818,"A","sp","a"
"","TEXT","2023-07-11 19:29:42 UTC","","",FALSE,1689103782139,"A","sp","a"
"","TEXT","2023-07-11 19:18:14 UTC","","",TRUE,1689103094571,"A","sp","a"
"","TEXT","2022-11-30 18:05:50 UTC","","",TRUE,1669831550591,"A","sp","a"
"","MEDIA","2022-11-30 18:05:49 UTC","","",TRUE,1669831549271,"A","sp","a"
"","TEXT","2022-11-30 18:05:45 UTC","","",TRUE,1669831545232,"A","sp","a"
"","TEXT","2022-11-30 18:04:32 UTC","","",TRUE,1669831472109,"A","sp","a"
"","TEXT","2022-11-30 18:04:17 UTC","","",TRUE,1669831457080,"A","sp","a"
"","TEXT","2022-11-30 18:04:09 UTC","","",TRUE,1669831449973,"A","sp","a"
"","TEXT","2022-11-30 18:04:05 UTC","","",TRUE,1669831445434,"A","sp","a"
"","TEXT","2022-10-24 12:32:38 UTC","","",TRUE,1666614758361,"A","sp","a"
"","TEXT","2022-10-01 11:13:08 UTC","","",TRUE,1664622788606,"A","sp","a"
"","TEXT","2022-09-15 18:10:57 UTC","","",TRUE,1663265457870,"A","sp","a"
"","TEXT","2022-09-08 14:21:03 UTC","","",TRUE,1662646863239,"A","sp","a"
"","TEXT","2023-09-20 22:37:30 UTC","","",FALSE,1695249450304,"B","sp","a"
"","TEXT","2023-09-20 22:37:26 UTC","","",FALSE,1695249446929,"B","sp","a"
"","TEXT","2023-09-20 21:59:53 UTC","","",TRUE,1695247193235,"B","sp","a"
"","MEDIA","2023-09-01 21:03:18 UTC","","",FALSE,1693602198094,"B","sp","a"
"","MEDIA","2023-09-01 21:03:05 UTC","","",FALSE,1693602185243,"B","sp","a"
"","MEDIA","2023-09-01 21:02:52 UTC","","",FALSE,1693602172833,"B","sp","a"
"","MEDIA","2023-05-09 16:17:48 UTC","","",TRUE,1683649068328,"C","sp","a"
"","TEXT","2023-04-26 22:10:17 UTC","","",TRUE,1682547017269,"C","sp","a"
"","TEXT","2023-04-26 22:10:13 UTC","","",TRUE,1682547013670,"C","sp","a"
"","TEXT","2023-04-26 22:10:05 UTC","","",FALSE,1682547005900,"C","sp","a"
"","TEXT","2023-04-26 22:09:50 UTC","","",TRUE,1682546990040,"C","sp","a"
"","TEXT","2023-04-26 22:09:48 UTC","","",TRUE,1682546988814,"C","sp","a"
"","TEXT","2023-04-26 22:09:46 UTC","","",TRUE,1682546986741,"C","sp","a"
"","TEXT","2023-04-26 22:09:45 UTC","","",TRUE,1682546985151,"C","sp","a"
"","TEXT","2023-01-28 11:23:22 UTC","","",TRUE,1674905002519,"D","sp","a"
"","TEXT","2022-12-28 21:33:26 UTC","","",FALSE,1672263206218,"D","sp","a"
"","TEXT","2021-09-07 10:53:45 UTC","","",TRUE,1631012025397,"D","sp","a"
"","TEXT","2021-08-28 15:53:19 UTC","","",FALSE,1630165999936,"D","sp","a"
"","MEDIA","2021-08-03 15:01:41 UTC","","",TRUE,1628002901693,"D","sp","a"
"","SHARE","2021-08-03 12:46:51 UTC","","",TRUE,1627994811302,"D","sp","a"
"","TEXT","2023-01-14 23:24:00 UTC","","",FALSE,1673738640686,"E","sp","a"
"","TEXT","2020-06-15 19:41:37 UTC","","",FALSE,1592250097378,"E","sp","a"
"","TEXT","2020-05-17 18:38:07 UTC","","",TRUE,1589740687077,"E","sp","a"
"","MEDIA","2022-12-31 23:05:10 UTC","","",FALSE,1672527910891,"F","sp","a"
"","TEXT","2022-12-27 20:31:37 UTC","","",FALSE,1672173097573,"G","sp","a"
"","TEXT","2022-12-27 19:05:14 UTC","","",FALSE,1672167914981,"G","sp","a"
"","TEXT","2022-12-22 17:18:08 UTC","","",TRUE,1671729488849,"G","sp","a"
"","TEXT","2022-12-22 17:04:59 UTC","","",FALSE,1671728699037,"G","sp","a"
"","TEXT","2022-12-22 17:04:53 UTC","","",FALSE,1671728693448,"G","sp","a"
"","TEXT","2022-12-22 17:04:39 UTC","","",FALSE,1671728679898,"G","sp","a"
"","TEXT","2022-12-22 17:01:48 UTC","","",TRUE,1671728508155,"G","sp","a"
"","TEXT","2022-12-22 17:01:39 UTC","","",TRUE,1671728499896,"G","sp","a"
"","TEXT","2022-12-22 17:01:38 UTC","","",TRUE,1671728498019,"G","sp","a"
"","TEXT","2022-12-22 16:31:14 UTC","","",FALSE,1671726674802,"G","sp","a"
"","TEXT","2022-12-22 16:31:00 UTC","","",FALSE,1671726660227,"G","sp","a"
"","TEXT","2022-12-22 16:30:52 UTC","","",TRUE,1671726652525,"G","sp","a"
"","TEXT","2022-12-22 16:30:51 UTC","","",FALSE,1671726651931,"G","sp","a"
"","TEXT","2022-12-22 16:30:50 UTC","","",TRUE,1671726650586,"G","sp","a"
"","TEXT","2022-12-22 16:30:42 UTC","","",FALSE,1671726642727,"G","sp","a"
"","TEXT","2022-12-22 16:26:54 UTC","","",TRUE,1671726414382,"G","sp","a"
"","TEXT","2022-12-22 16:25:32 UTC","","",FALSE,1671726332117,"G","sp","a"
"","TEXT","2022-12-22 16:25:14 UTC","","",FALSE,1671726314036,"G","sp","a"
"","TEXT","2022-12-22 16:24:41 UTC","","",FALSE,1671726281241,"G","sp","a"
"","TEXT","2022-12-22 16:24:14 UTC","","",FALSE,1671726254838,"G","sp","a"
"","TEXT","2022-12-22 16:23:54 UTC","","",FALSE,1671726234263,"G","sp","a"
"","TEXT","2022-12-22 16:23:05 UTC","","",TRUE,1671726185046,"G","sp","a"
"","TEXT","2022-12-22 16:23:03 UTC","","",TRUE,1671726183944,"G","sp","a"
"","TEXT","2022-12-22 16:22:55 UTC","","",FALSE,1671726175072,"G","sp","a"
