"From","Media Type","Created","Content","Conversation Title","IsSender","Created(microseconds)","MainFrom","app","person"
"","MEDIA","2023-10-17 04:53:17 UTC","","",FALSE,1697518397332,"A","sp","f"
"","MEDIA","2022-12-28 21:33:15 UTC","","",TRUE,1672263195129,"A","sp","f"
"","MEDIA","2022-10-17 20:36:35 UTC","","",FALSE,1666038995070,"A","sp","f"
"","MEDIA","2022-06-30 21:02:52 UTC","","",TRUE,1656622972043,"A","sp","f"
"","MEDIA","2022-04-30 20:46:21 UTC","","",TRUE,1651351581202,"A","sp","f"
"","MEDIA","2022-04-23 20:59:47 UTC","","",TRUE,1650747587511,"A","sp","f"
"","MEDIA","2022-03-26 04:59:12 UTC","","",FALSE,1648270752232,"A","sp","f"
"","MEDIA","2022-03-24 07:51:57 UTC","","",FALSE,1648108317433,"A","sp","f"
"","MEDIA","2022-03-20 20:07:42 UTC","","",TRUE,1647806862724,"A","sp","f"
"","MEDIA","2022-03-18 18:47:28 UTC","","",TRUE,1647629248486,"A","sp","f"
"","MEDIA","2022-03-18 18:46:46 UTC","","",TRUE,1647629206276,"A","sp","f"
"","MEDIA","2022-03-13 08:10:48 UTC","","",TRUE,1647159048750,"A","sp","f"
"","MEDIA","2022-03-12 20:12:27 UTC","","",TRUE,1647115947358,"A","sp","f"
"","MEDIA","2022-03-11 15:35:18 UTC","","",TRUE,1647012918158,"A","sp","f"
"","MEDIA","2022-03-11 15:35:11 UTC","","",TRUE,1647012911125,"A","sp","f"
"","MEDIA","2022-03-04 07:10:42 UTC","","",TRUE,1646377842164,"A","sp","f"
"","MEDIA","2022-03-04 06:44:24 UTC","","",FALSE,1646376264575,"A","sp","f"
"","MEDIA","2022-03-02 01:53:14 UTC","","",FALSE,1646185994413,"A","sp","f"
"","MEDIA","2022-03-01 16:30:56 UTC","","",FALSE,1646152256332,"A","sp","f"
"","MEDIA","2022-03-01 16:25:41 UTC","","",TRUE,1646151941974,"A","sp","f"
"","TEXT","2022-02-22 22:56:44 UTC","","",TRUE,1645570604775,"A","sp","f"
"","TEXT","2022-02-22 22:56:21 UTC","","",TRUE,1645570581923,"A","sp","f"
"","MEDIA","2022-02-22 22:56:21 UTC","","",TRUE,1645570581719,"A","sp","f"
"","MEDIA","2022-02-17 12:34:07 UTC","","",FALSE,1645101247555,"A","sp","f"
"","MEDIA","2022-02-16 18:39:34 UTC","","",TRUE,1645036774842,"A","sp","f"
"","MEDIA","2022-02-16 18:39:28 UTC","","",TRUE,1645036768355,"A","sp","f"
"","MEDIA","2022-02-16 18:38:29 UTC","","",TRUE,1645036709330,"A","sp","f"
"","MEDIA","2022-02-16 18:38:14 UTC","","",TRUE,1645036694260,"A","sp","f"
"","MEDIA","2022-02-14 11:11:11 UTC","","",TRUE,1644837071036,"A","sp","f"
"","MEDIA","2022-02-14 11:11:06 UTC","","",TRUE,1644837066481,"A","sp","f"
"","MEDIA","2022-02-12 13:02:25 UTC","","",TRUE,1644670945325,"A","sp","f"
"","MEDIA","2022-02-11 14:05:58 UTC","","",TRUE,1644588358394,"A","sp","f"
"","MEDIA","2022-02-11 14:05:53 UTC","","",TRUE,1644588353833,"A","sp","f"
"","MEDIA","2022-02-08 07:57:39 UTC","","",TRUE,1644307059366,"A","sp","f"
"","MEDIA","2022-02-07 23:50:22 UTC","","",TRUE,1644277822965,"A","sp","f"
"","MEDIA","2022-02-07 23:50:10 UTC","","",TRUE,1644277810806,"A","sp","f"
"","MEDIA","2022-02-05 10:34:30 UTC","","",FALSE,1644057270257,"A","sp","f"
"","MEDIA","2022-02-04 05:52:53 UTC","","",FALSE,1643953973744,"A","sp","f"
"","MEDIA","2022-02-04 05:52:33 UTC","","",FALSE,1643953953790,"A","sp","f"
"","MEDIA","2022-01-31 11:18:46 UTC","","",FALSE,1643627926898,"A","sp","f"
"","MEDIA","2022-01-16 21:49:54 UTC","","",TRUE,1642369794889,"A","sp","f"
"","MEDIA","2022-01-13 22:02:38 UTC","","",TRUE,1642111358255,"A","sp","f"
"","MEDIA","2022-01-13 22:02:10 UTC","","",TRUE,1642111330907,"A","sp","f"
"","MEDIA","2022-01-13 20:46:31 UTC","","",FALSE,1642106791161,"A","sp","f"
"","MEDIA","2022-01-03 20:41:37 UTC","","",TRUE,1641242497778,"A","sp","f"
"","MEDIA","2022-01-03 20:41:22 UTC","","",TRUE,1641242482664,"A","sp","f"
"","MEDIA","2021-12-08 19:22:08 UTC","","",TRUE,1638991328232,"A","sp","f"
"","TEXT","2021-12-07 23:04:00 UTC","","",TRUE,1638918240148,"A","sp","f"
"","MEDIA","2021-11-18 20:22:29 UTC","","",TRUE,1637266949053,"A","sp","f"
"","MEDIA","2021-11-18 20:11:19 UTC","","",TRUE,1637266279311,"A","sp","f"
"","MEDIA","2021-11-18 20:03:02 UTC","","",FALSE,1637265782426,"A","sp","f"
"","MEDIA","2021-11-17 20:55:19 UTC","","",TRUE,1637182519375,"A","sp","f"
"","MEDIA","2021-11-17 19:55:45 UTC","","",FALSE,1637178945531,"A","sp","f"
"","TEXT","2021-10-22 18:58:57 UTC","","",TRUE,1634929137404,"A","sp","f"
"","TEXT","2021-10-22 18:58:03 UTC","","",FALSE,1634929083658,"A","sp","f"
"","TEXT","2021-10-22 18:57:05 UTC","","",TRUE,1634929025891,"A","sp","f"
"","TEXT","2021-10-22 18:57:02 UTC","","",TRUE,1634929022960,"A","sp","f"
"","TEXT","2021-10-22 18:56:15 UTC","","",FALSE,1634928975637,"A","sp","f"
"","MEDIA","2021-10-22 18:55:46 UTC","","",TRUE,1634928946403,"A","sp","f"
"","MEDIA","2021-10-17 06:32:23 UTC","","",FALSE,1634452343728,"A","sp","f"
"","TEXT","2021-08-31 21:38:23 UTC","","",TRUE,1630445903544,"A","sp","f"
"","TEXT","2021-08-31 21:37:50 UTC","","",TRUE,1630445870039,"A","sp","f"
"","TEXT","2021-08-31 18:20:39 UTC","","",FALSE,1630434039529,"A","sp","f"
"","TEXT","2021-08-31 18:20:31 UTC","","",FALSE,1630434031616,"A","sp","f"
"","TEXT","2021-07-23 15:49:23 UTC","","",TRUE,1627055363092,"A","sp","f"
"","TEXT","2021-07-23 15:49:08 UTC","","",FALSE,1627055348849,"A","sp","f"
"","TEXT","2021-07-23 15:49:04 UTC","","",TRUE,1627055344082,"A","sp","f"
"","TEXT","2021-07-23 15:48:45 UTC","","",TRUE,1627055325526,"A","sp","f"
"","TEXT","2021-07-23 15:47:06 UTC","","",FALSE,1627055226116,"A","sp","f"
"","TEXT","2021-07-23 15:46:41 UTC","","",FALSE,1627055201470,"A","sp","f"
"","TEXT","2021-07-23 15:45:57 UTC","","",TRUE,1627055157511,"A","sp","f"
"","TEXT","2021-07-23 15:45:39 UTC","","",TRUE,1627055139600,"A","sp","f"
"","TEXT","2021-07-23 15:44:08 UTC","","",FALSE,1627055048975,"A","sp","f"
"","TEXT","2021-07-23 15:43:40 UTC","","",FALSE,1627055020677,"A","sp","f"
"","TEXT","2021-07-23 15:43:34 UTC","","",FALSE,1627055014787,"A","sp","f"
"","TEXT","2021-07-23 14:54:09 UTC","","",TRUE,1627052049485,"A","sp","f"
"","NOTE","2023-09-05 18:38:04 UTC","","",FALSE,1693939084833,"B","sp","f"
"","MEDIA","2023-02-11 20:02:02 UTC","","",FALSE,1676145722301,"B","sp","f"
"","MEDIA","2022-12-04 23:24:16 UTC","","",TRUE,1670196256126,"B","sp","f"
"","MEDIA","2022-11-14 22:12:47 UTC","","",TRUE,1668463967963,"B","sp","f"
"","MEDIA","2022-11-14 22:12:36 UTC","","",TRUE,1668463956136,"B","sp","f"
"","TEXT","2022-11-14 22:12:23 UTC","","",TRUE,1668463943729,"B","sp","f"
"","MEDIA","2022-11-14 13:08:14 UTC","","",FALSE,1668431294797,"B","sp","f"
"","MEDIA","2022-11-03 22:14:42 UTC","","",FALSE,1667513682996,"B","sp","f"
"","MEDIA","2022-10-08 10:22:12 UTC","","",TRUE,1665224532481,"B","sp","f"
"","MEDIA","2022-09-30 19:25:19 UTC","","",TRUE,1664565919905,"B","sp","f"
"","MEDIA","2022-09-30 19:24:35 UTC","","",TRUE,1664565875129,"B","sp","f"
"","MEDIA","2022-09-04 21:10:36 UTC","","",TRUE,1662325836937,"B","sp","f"
"","MEDIA","2022-08-22 21:47:48 UTC","","",TRUE,1661204868504,"B","sp","f"
"","MEDIA","2022-07-06 10:48:21 UTC","","",TRUE,1657104501079,"B","sp","f"
"","MEDIA","2022-06-30 21:02:52 UTC","","",TRUE,1656622972043,"B","sp","f"
"","MEDIA","2022-06-20 21:29:46 UTC","","",TRUE,1655760586582,"B","sp","f"
"","MEDIA","2022-06-20 21:29:31 UTC","","",TRUE,1655760571093,"B","sp","f"
"","TEXT","2022-06-17 19:31:06 UTC","","",FALSE,1655494266385,"B","sp","f"
"","TEXT","2022-06-17 19:30:14 UTC","","",TRUE,1655494214793,"B","sp","f"
"","TEXT","2022-06-17 19:16:43 UTC","","",TRUE,1655493403176,"B","sp","f"
"","TEXT","2022-06-08 18:28:00 UTC","","",TRUE,1654712880280,"B","sp","f"
"","TEXT","2022-06-05 20:54:45 UTC","","",FALSE,1654462485839,"B","sp","f"
"","MEDIA","2022-06-05 20:51:46 UTC","","",TRUE,1654462306464,"B","sp","f"
"","TEXT","2022-05-30 08:39:23 UTC","","",TRUE,1653899963182,"B","sp","f"
