"From","Media Type","Created","Content","Conversation Title","IsSender","Created(microseconds)","MainFrom","app","person"
"","MEDIA","2024-01-02 18:43:30 UTC","","",FALSE,1704221010145,"A","sp","z"
"","TEXT","2023-12-18 18:05:18 UTC","","",FALSE,1702922718379,"A","sp","z"
"","TEXT","2023-12-18 18:04:34 UTC","","",TRUE,1702922674922,"A","sp","z"
"","TEXT","2023-12-18 17:55:00 UTC","","",FALSE,1702922100767,"A","sp","z"
"","MEDIA","2023-12-18 17:54:52 UTC","","",FALSE,1702922092758,"A","sp","z"
"","TEXT","2023-09-19 08:40:26 UTC","","",FALSE,1695112826072,"A","sp","z"
"","TEXT","2023-09-19 08:40:21 UTC","","",FALSE,1695112821358,"A","sp","z"
"","TEXT","2023-09-19 08:39:26 UTC","","",TRUE,1695112766616,"A","sp","z"
"","MEDIA","2023-09-19 08:39:23 UTC","","",TRUE,1695112763652,"A","sp","z"
"","MEDIA","2023-09-13 18:49:22 UTC","","",TRUE,1694630962130,"A","sp","z"
"","MEDIA","2023-09-05 16:49:13 UTC","","",FALSE,1693932553944,"A","sp","z"
"","TEXT","2023-04-10 17:50:23 UTC","","",TRUE,1681149023909,"A","sp","z"
"","TEXT","2023-04-10 17:50:14 UTC","","",FALSE,1681149014182,"A","sp","z"
"","TEXT","2023-04-10 17:50:09 UTC","","",FALSE,1681149009681,"A","sp","z"
"","TEXT","2023-04-10 17:49:58 UTC","","",FALSE,1681148998550,"A","sp","z"
"","TEXT","2023-04-10 17:49:54 UTC","","",TRUE,1681148994946,"A","sp","z"
"","TEXT","2023-04-10 17:49:52 UTC","","",FALSE,1681148992231,"A","sp","z"
"","TEXT","2023-04-10 17:49:44 UTC","","",TRUE,1681148984786,"A","sp","z"
"","TEXT","2023-04-10 17:49:33 UTC","","",FALSE,1681148973070,"A","sp","z"
"","TEXT","2023-04-10 17:49:24 UTC","","",TRUE,1681148964907,"A","sp","z"
"","TEXT","2023-04-10 17:49:02 UTC","","",TRUE,1681148942930,"A","sp","z"
"","TEXT","2023-04-10 17:48:09 UTC","","",FALSE,1681148889025,"A","sp","z"
"","TEXT","2023-04-10 17:48:04 UTC","","",FALSE,1681148884715,"A","sp","z"
"","MEDIA","2023-04-10 17:47:53 UTC","","",FALSE,1681148873186,"A","sp","z"
"","TEXT","2023-02-02 19:41:30 UTC","","",TRUE,1675366890137,"A","sp","z"
"","TEXT","2023-02-02 19:36:55 UTC","","",FALSE,1675366615869,"A","sp","z"
"","TEXT","2023-02-02 19:26:11 UTC","","",TRUE,1675365971283,"A","sp","z"
"","TEXT","2023-02-02 19:26:00 UTC","","",TRUE,1675365960726,"A","sp","z"
"","TEXT","2023-02-02 19:25:56 UTC","","",TRUE,1675365956382,"A","sp","z"
"","TEXT","2023-02-02 19:25:28 UTC","","",TRUE,1675365928486,"A","sp","z"
"","TEXT","2023-02-02 19:25:18 UTC","","",TRUE,1675365918750,"A","sp","z"
"","TEXT","2023-02-02 19:25:10 UTC","","",FALSE,1675365910169,"A","sp","z"
"","TEXT","2023-02-02 19:25:07 UTC","","",TRUE,1675365907132,"A","sp","z"
"","TEXT","2023-02-02 19:25:04 UTC","","",FALSE,1675365904396,"A","sp","z"
"","TEXT","2023-02-02 19:24:56 UTC","","",FALSE,1675365896004,"A","sp","z"
"","TEXT","2023-02-02 19:24:47 UTC","","",FALSE,1675365887612,"A","sp","z"
"","TEXT","2023-02-02 19:22:01 UTC","","",TRUE,1675365721390,"A","sp","z"
"","TEXT","2023-02-02 19:21:24 UTC","","",TRUE,1675365684793,"A","sp","z"
"","TEXT","2023-02-02 19:20:54 UTC","","",TRUE,1675365654849,"A","sp","z"
"","TEXT","2023-02-02 19:20:51 UTC","","",TRUE,1675365651515,"A","sp","z"
"","TEXT","2023-02-02 19:20:33 UTC","","",FALSE,1675365633125,"A","sp","z"
"","TEXT","2023-02-02 19:20:30 UTC","","",FALSE,1675365630451,"A","sp","z"
"","TEXT","2023-02-02 19:20:26 UTC","","",FALSE,1675365626511,"A","sp","z"
