"person","app","day","month","year","strDate","date"
"z","mg","16","11","2023","16-11-2023","20231116"
"z","mg","15","11","2023","15-11-2023","20231115"
"z","mg","03","11","2023","03-11-2023","20231103"
"z","mg","02","11","2023","02-11-2023","20231102"
"z","mg","29","10","2023","29-10-2023","20231029"
"z","mg","21","09","2023","21-09-2023","20230921"
"z","mg","20","09","2023","20-09-2023","20230920"
"z","mg","17","09","2023","17-09-2023","20230917"
"z","mg","31","08","2023","31-08-2023","20230831"
"z","mg","30","08","2023","30-08-2023","20230830"
"z","mg","21","08","2023","21-08-2023","20230821"
"z","mg","18","08","2023","18-08-2023","20230818"
"z","mg","13","08","2023","13-08-2023","20230813"
"z","mg","09","08","2023","09-08-2023","20230809"
"z","mg","09","08","2023","09-08-2023","20230809"
"z","mg","08","08","2023","08-08-2023","20230808"
"z","mg","08","08","2023","08-08-2023","20230808"
"z","mg","08","08","2023","08-08-2023","20230808"
"z","mg","08","08","2023","08-08-2023","20230808"
"z","mg","08","08","2023","08-08-2023","20230808"
"z","mg","02","07","2023","02-07-2023","20230702"
"z","mg","26","06","2023","26-06-2023","20230626"
"z","mg","06","06","2023","06-06-2023","20230606"
"z","mg","04","06","2023","04-06-2023","20230604"
"z","mg","04","06","2023","04-06-2023","20230604"
"z","mg","02","06","2023","02-06-2023","20230602"
"z","mg","02","06","2023","02-06-2023","20230602"
"z","mg","01","06","2023","01-06-2023","20230601"
"z","mg","14","05","2023","14-05-2023","20230514"
"z","mg","09","05","2023","09-05-2023","20230509"
"z","mg","06","05","2023","06-05-2023","20230506"
"z","mg","06","04","2023","06-04-2023","20230406"
"z","mg","06","04","2023","06-04-2023","20230406"
"z","mg","31","03","2023","31-03-2023","20230331"
"z","mg","30","03","2023","30-03-2023","20230330"
"z","mg","22","03","2023","22-03-2023","20230322"
"z","mg","19","03","2023","19-03-2023","20230319"
"z","mg","14","03","2023","14-03-2023","20230314"
"z","mg","09","03","2023","09-03-2023","20230309"
"z","mg","06","03","2023","06-03-2023","20230306"
"z","mg","27","02","2023","27-02-2023","20230227"
"z","mg","27","02","2023","27-02-2023","20230227"
"z","mg","21","02","2023","21-02-2023","20230221"
"z","mg","21","02","2023","21-02-2023","20230221"
"z","mg","17","02","2023","17-02-2023","20230217"
"z","mg","16","02","2023","16-02-2023","20230216"
"z","mg","11","02","2023","11-02-2023","20230211"
"z","mg","11","02","2023","11-02-2023","20230211"
"z","mg","11","02","2023","11-02-2023","20230211"
"z","mg","10","02","2023","10-02-2023","20230210"
"z","mg","10","02","2023","10-02-2023","20230210"
"z","mg","28","01","2023","28-01-2023","20230128"
"z","mg","26","01","2023","26-01-2023","20230126"
